,Performance,Accessibility,Best Practice,SEO
Login,68.0,82.0,100.0,92.0
Dashboard Utama,87.0,94.0,100.0,91.0
Greenhouse,86.0,100.0,100.0,92.0
Greenhouse Detail,55.0,91.0,100.0,92.0
Tandon/Reservoir,100.0,96.0,100.0,92.0
Tandon/Reservoir Detail,55.0,91.0,100.0,92.0
Robot,100.0,96.0,96.0,91.0
Robot Detail,71.0,90.0,96.0,91.0
Monitoring,55.0,92.0,96.0,91.0
Monitoring Detail,67.0,96.0,100.0,91.0
Controlling,55.0,81.0,96.0,82.0
Controlling Detail,55.0,96.0,100.0,91.0
Automation-Sensor,87.0,92.0,96.0,91.0
Automation-Schedule,90.0,86.0,96.0,91.0
Download Data,88.0,89.0,100.0,91.0
Manajemen Pengguna,99.0,90.0,100.0,91.0
Settings-Profile,96.0,96.0,100.0,91.0
Settings-Password,94.0,96.0,100.0,91.0
Settings-Appearance,96.0,100.0,100.0,91.0
Notifikasi,99.0,90.0,100.0,91.0
