,CLS,FCP,TBT,SI,LCP
Login,0.0,1.0,0.0,2.6,7.7
Dashboard Utama,0.0,1.6,10.0,1.5,1.6
Notifikasi,0.011,0.7,0.0,0.9,0.8
Greenhouse,0.0,0.6,0.0,1.5,2.4
Detail Greenhouse,0.0,19.1,0.0,19.4,20.1
Tandon,0.0,0.6,0.0,0.6,0.7
Detail Tandon,0.0,15.0,0.0,13.6,15.5
Robot,0.0,0.6,0.0,0.6,0.7
Robot Detail,0.0,2.8,0.0,2.0,2.8
Monitoring Sensor,0.0,16.4,0.0,16.4,16.4
Lihat Detail Sensor,0.0,3.25,0.0,2.85,3.25
Controlling,0.0,9.1,0.0,8.8,9.1
Lihat Detail Aktuator,0.0,1.9,0.0,1.4,1.9
Automasi Sensor,0.0,1.5,0.0,1.2,1.7
Automasi Jadwal,0.0007,1.5,0.0,1.3,1.5
Kelola User,0.003,0.7,0.0,0.7,0.7
Download Sensor,0.0,1.7,0.0,1.2,1.7
Settings Profile,0.0,1.0,0.0,1.0,1.1
Settings Password,0.0,1.3,0.0,1.1,1.3
Settings Appearance,0.0,1.1,0.0,0.9,1.1
