Task,Success,Satisfaction,Efficiency
T01,Baik,Buruk,Buruk
T02,Buruk,Buruk,Buruk
T03,Buruk,Buruk,Buruk
T04,Buruk,Buruk,Buruk
T05,Buruk,Buruk,Buruk
T06,Buruk,Buruk,Buruk
T07,Buruk,Buruk,Buruk
T08,Buruk,Buruk,Buruk
T09,Sedang,Buruk,Buruk
T10,Baik,Buruk,Buruk
T11,Buruk,Buruk,Buruk
T12,Buruk,Buruk,Buruk
T13,Buruk,Buruk,Buruk
T14,Sedang,Buruk,Buruk
T15,Buruk,Buruk,Buruk
T16,Sedang,Buruk,Buruk
T17,Buruk,Buruk,Buruk
T18,Buruk,Buruk,Buruk
T19,Buruk,Buruk,Buruk
T20,Buruk,Buruk,Buruk
T21,Buruk,Buruk,Buruk
T22,Buruk,Buruk,Buruk
T23,Sedang,Buruk,Buruk
T24,Buruk,Buruk,Buruk
T25,Buruk,Buruk,Buruk
T26,Buruk,Buruk,Buruk
T27,Buruk,Buruk,Buruk
T28,Sedang,Buruk,Buruk
T29,Sedang,Buruk,Buruk
T30,Sedang,Buruk,Buruk
T31,Buruk,Buruk,Buruk
T32,Sedang,Buruk,Buruk
T33,Sedang,Buruk,Buruk
T34,Buruk,Buruk,Buruk
T35,Buruk,Buruk,Buruk
T36,Buruk,Buruk,Buruk
T37,Sedang,Buruk,Buruk
T38,Sedang,Buruk,Buruk
T39,Buruk,Buruk,Buruk
T40,Buruk,Buruk,Buruk
T41,Buruk,Buruk,Buruk
T42,Buruk,Buruk,Buruk
T43,Buruk,Buruk,Buruk
T44,Buruk,Buruk,Buruk
T45,Buruk,Buruk,Buruk
T46,Sedang,Buruk,Buruk
T47,Buruk,Buruk,Buruk
