Task,Success,Satisfaction,Efficiency
T01,Buruk,Buruk,Buruk
T02,Baik,Buruk,Buruk
T03,Buruk,Buruk,Buruk
T04,Buruk,Buruk,Buruk
T05,Buruk,Buruk,Buruk
T06,Sedang,Buruk,Buruk
T07,Buruk,Buruk,Buruk
T08,Sedang,Buruk,Buruk
T09,Buruk,Buruk,Buruk
T10,Buruk,Buruk,Buruk
T11,Buruk,Buruk,Buruk
T12,Buruk,Buruk,Buruk
T13,Buruk,Buruk,Buruk
T14,Buruk,Buruk,Buruk
T15,Buruk,Buruk,Buruk
T16,Sedang,Buruk,Buruk
T17,Baik,Buruk,Buruk
T18,Sedang,Buruk,Buruk
T19,Sedang,Buruk,Buruk
T20,Sedang,Buruk,Buruk
T21,Sedang,Buruk,Buruk
T22,Buruk,Buruk,Buruk
T23,Buruk,Buruk,Buruk
T24,Buruk,Buruk,Buruk
