Task,Success,Satisfaction,Efficiency
T01,Buruk,Buruk,Buruk
T02,Buruk,Buruk,Buruk
T03,Buruk,Buruk,Buruk
T04,Sedang,Buruk,Buruk
T05,Buruk,Buruk,Buruk
T06,Buruk,Buruk,Buruk
T07,Buruk,Buruk,Buruk
T08,Buruk,Buruk,Buruk
T09,Buruk,Buruk,Buruk
T10,Sedang,Buruk,Buruk
T11,Sedang,Buruk,Buruk
T12,Buruk,Buruk,Buruk
T13,Buruk,Buruk,Buruk
T14,Buruk,Buruk,Buruk
T15,Buruk,Buruk,Buruk
T16,Buruk,Buruk,Buruk
T17,Buruk,Buruk,Buruk
T18,Buruk,Buruk,Buruk
T19,Sedang,Buruk,Buruk
T20,Buruk,Buruk,Buruk
T21,Buruk,Buruk,Buruk
T22,Buruk,Buruk,Buruk
T23,Buruk,Buruk,Buruk
T24,Baik,Buruk,Buruk
T25,Buruk,Buruk,Buruk
T26,Buruk,Buruk,Buruk
T27,Sedang,Buruk,Buruk
T28,Buruk,Buruk,Buruk
T29,Buruk,Buruk,Buruk
T30,Buruk,Buruk,Buruk
T31,Buruk,Buruk,Buruk
T32,Buruk,Buruk,Buruk
T33,Buruk,Buruk,Buruk
T34,Buruk,Buruk,Buruk
T35,Buruk,Buruk,Buruk
T36,Sedang,Buruk,Buruk
T37,Buruk,Buruk,Buruk
T38,Buruk,Buruk,Buruk
T39,Buruk,Buruk,Buruk
T40,Buruk,Buruk,Buruk
T41,Buruk,Buruk,Buruk
T42,Buruk,Buruk,Buruk
T43,Buruk,Buruk,Buruk
T44,Buruk,Buruk,Buruk
T45,Buruk,Buruk,Buruk
T46,Sedang,Buruk,Buruk
T47,Buruk,Buruk,Buruk
T48,Buruk,Buruk,Buruk
T49,Buruk,Buruk,Buruk
T50,Buruk,Buruk,Buruk
T51,Sedang,Buruk,Buruk
