Task,Success,Satisfaction,Efficiency
T01,0.8,1.6,784.6
T02,0.4,1.2,791.0
T03,0.0,1.2,742.0
T04,0.4,1.4,843.8
T05,0.2,1.2,784.0
T06,0.4,1.2,760.6
T07,0.2,1.4,761.2
T08,0.0,1.8,814.8
T09,0.6,1.2,764.0
T10,0.8,1.6,779.6
T11,0.4,1.4,867.8
T12,0.2,1.6,757.0
T13,0.2,1.4,866.2
T14,0.6,1.2,849.2
T15,0.2,1.8,772.4
T16,0.6,1.6,781.6
T17,0.2,1.8,708.6
T18,0.4,1.6,827.6
T19,0.2,1.4,772.8
T20,0.4,1.4,759.8
T21,0.4,1.8,737.8
T22,0.0,1.6,743.8
T23,0.6,1.2,760.8
T24,0.2,1.4,747.4
T25,0.4,1.6,794.6
T26,0.4,1.4,753.0
T27,0.2,1.8,761.0
T28,0.6,1.4,769.0
T29,0.6,1.4,764.6
T30,0.6,1.4,802.6
T31,0.0,1.4,765.0
T32,0.6,1.8,764.6
T33,0.6,1.6,744.2
T34,0.0,1.4,788.8
T35,0.0,1.4,801.0
T36,0.2,1.4,775.2
T37,0.6,1.4,754.0
T38,0.6,1.4,771.0
T39,0.2,1.6,736.6
T40,0.2,1.6,764.4
T41,0.4,1.4,825.6
T42,0.2,1.6,736.2
T43,0.0,1.4,731.2
T44,0.2,2.0,768.4
T45,0.0,1.2,757.6
T46,0.6,1.4,790.0
T47,0.0,1.4,758.0
