Task,Success,Satisfaction,Efficiency
T01,0.2,1.6,841.6
T02,0.4,1.2,769.8
T03,0.2,1.6,743.6
T04,0.6,1.8,791.2
T05,0.2,1.2,789.6
T06,0.0,1.6,737.6
T07,0.2,1.8,759.0
T08,0.4,1.6,812.4
T09,0.2,1.4,786.0
T10,0.6,1.8,782.2
T11,0.6,1.6,753.6
T12,0.2,1.4,740.2
T13,0.2,1.4,721.4
T14,0.4,1.8,745.0
T15,0.2,1.8,802.4
T16,0.0,1.4,760.4
T17,0.2,1.8,757.4
T18,0.0,1.4,791.8
T19,0.6,1.6,758.6
T20,0.0,1.2,765.4
T21,0.2,1.8,776.6
T22,0.4,1.8,810.4
T23,0.4,1.4,784.0
T24,0.8,2.0,800.0
T25,0.4,1.0,780.0
T26,0.4,1.6,822.8
T27,0.6,1.4,745.0
T28,0.2,1.6,802.0
T29,0.2,1.2,801.0
T30,0.4,1.2,751.4
T31,0.4,1.4,768.8
T32,0.2,1.4,794.4
T33,0.2,1.4,748.8
T34,0.2,1.6,788.8
T35,0.2,1.2,813.4
T36,0.6,1.4,761.2
T37,0.2,1.8,771.4
T38,0.2,1.4,833.2
T39,0.4,1.6,813.2
T40,0.2,1.6,788.6
T41,0.4,1.4,762.0
T42,0.2,1.2,798.6
T43,0.4,2.0,793.8
T44,0.4,1.8,798.8
T45,0.2,2.0,829.4
T46,0.6,1.4,748.8
T47,0.4,1.4,758.8
T48,0.2,1.4,793.2
T49,0.4,1.8,788.4
T50,0.4,1.8,761.2
T51,0.6,1.4,734.4
